epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,2180.75,1.32561,0.54347,1.45431,0.92906,0.88385,0.93349,0.5777,1.67862,0.79865,1.46221,5.71106e-05,5.71106e-05,5.71106e-05
88,2203.71,1.36465,0.54705,1.452,0.94827,0.87819,0.93358,0.57163,1.69419,0.80012,1.46497,5.07115e-05,5.07115e-05,5.07115e-05
89,2226.59,1.34407,0.54083,1.45684,0.9475,0.88385,0.93203,0.56676,1.71437,0.7895,1.46739,4.47606e-05,4.47606e-05,4.47606e-05
90,2249.5,1.37245,0.55157,1.45574,0.94044,0.88385,0.93223,0.57177,1.68898,0.79609,1.46545,3.9264e-05,3.9264e-05,3.9264e-05
91,2288.23,1.2873,0.519,1.44598,0.93359,0.87535,0.93107,0.57009,1.68149,0.79522,1.46649,3.4227e-05,3.4227e-05,3.4227e-05
92,2311.54,1.34267,0.54412,1.45187,0.94221,0.87753,0.92877,0.56879,1.70284,0.79439,1.4648,2.96546e-05,2.96546e-05,2.96546e-05
93,2334.78,1.3322,0.53667,1.44797,0.92692,0.88385,0.93048,0.56942,1.69671,0.79811,1.46328,2.55513e-05,2.55513e-05,2.55513e-05
94,2358.12,1.3365,0.54117,1.45174,0.94848,0.88667,0.93611,0.57093,1.69613,0.79034,1.463,2.19212e-05,2.19212e-05,2.19212e-05
95,2381.17,1.32289,0.5304,1.4562,0.93779,0.88102,0.93402,0.57701,1.68033,0.79066,1.4614,1.87678e-05,1.87678e-05,1.87678e-05
96,2404.09,1.34484,0.53288,1.44456,0.93691,0.88669,0.93318,0.57157,1.6919,0.79432,1.46203,1.60943e-05,1.60943e-05,1.60943e-05
97,2427.07,1.34339,0.54187,1.44893,0.93451,0.88669,0.9312,0.5691,1.69755,0.7861,1.46227,1.39032e-05,1.39032e-05,1.39032e-05
98,2450.14,1.339,0.53943,1.44592,0.93682,0.88217,0.92919,0.56811,1.69715,0.78854,1.46235,1.21968e-05,1.21968e-05,1.21968e-05
